formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
Ag2NbP2S8,933.6923077,2.336153846,22.53846154,1.098461538,48.24230769,1294.965385,3.317692308,1.131538462,2781.538462,3.828461538,5.224615385,687.1961538,80.53846154,0.068461538,23.44,2.19,8.153846154,14,3.076923077,0.230769231,95.99230769,2.344615385,3.461538462,1.446153846,3.230769231,6.307692308,5,14.23076923,319.6923077,4.929230769,98.90923077,1.126923077,0.923076923,2.913846154,6.538461538,4.692307692,4.761538462,0.612307692,70.33384615,1.846153846,0,2.923076923,1.769230769,12138,30.37,293,14.28,627.15,16834.55,43.13,14.71,36160,49.77,67.92,8933.55,1047,0.89,304.72,28.47,106,182,40,3,1247.9,30.48,45,18.8,42,82,65,185,4156,64.08,1285.82,14.65,12,37.88,85,61,61.9,7.96,914.34,24,0,38,23,360,1.18,32,1.1,76.9,4462,4.72,0.51,7706,8.68,2.35,2423.9,41,0.04,2.58,1.28,10,0,4,1,77.9,0.98,2,1.66,4,3,4,11,447,25.74,672.2,0.6,2,3.44,6,5,12.8,0.53,428.76,10,0,4,1,2.02
Ag2V2I4O16,1159.166667,3.083333333,20,0.791666667,45.05083333,647.8166667,2.62,0.94,1357.053333,2.205833333,7.155833333,384.1333333,83.25,0.025,18.5325,3.018333333,7.25,14,2.5,0.083333333,69.79166667,3.033333333,2.916666667,0.979166667,3.75,6.666666667,5.583333333,14.83333333,250.3333333,4.133333333,64.36333333,0.879166667,1,0.87,6.5,5.416666667,3.051666667,0.709166667,38.40333333,2.75,0,3.5,1.916666667,27820,74,480,19,1081.22,15547.6,62.88,22.56,32569.28,52.94,171.74,9219.2,1998,0.6,444.78,72.44,174,336,60,2,1675,72.8,70,23.5,90,160,134,356,6008,99.2,1544.72,21.1,24,20.88,156,130,73.24,17.02,921.68,66,0,84,46,663,2.08,45,1.23,110.9,3563,4.2,0.8,7325.42,10.5,5.17,2108.4,50,0.12,12.44,2.35,10,0,5,1,95.1,1.81,3,1.96,5,4,5,12,407,20.68,449.59,1,2,5.44,6,6,11.61,0.71,428.97,10,0,5,1,2.24
Ag3SbS3,861,2.194285714,34.28571429,1.274285714,77.36857143,1690.307143,2.878571429,1.29,4493.142857,6.342857143,4.871428571,823.9214286,77.71428571,0.075714286,24.27571429,1.957142857,4.285714286,14,3.857142857,0.428571429,106.8714286,2.225714286,4.142857143,1.744285714,2.142857143,5.571428571,4.142857143,13.71428571,278.7142857,8.418571429,122.6114286,1.321428571,0.571428571,3.617142857,8,3.285714286,5.571428571,0.437142857,187.4442857,5.714285714,0,2.142857143,1.571428571,6027,15.36,240,8.92,541.58,11832.15,20.15,9.03,31452,44.4,34.1,5767.45,544,0.53,169.93,13.7,30,98,27,3,748.1,15.58,29,12.21,15,39,29,96,1951,58.93,858.28,9.25,4,25.32,56,23,39,3.06,1312.11,40,0,15,11,269,0.72,35,0.77,89.69,1767.3,0.2,0.51,6166,8.43,2,849.2,23,0.05,2.8,1.04,10,0,4,1,47.6,0.65,2,1.28,4,3,4,5,22,18.15,240.78,0.6,1,3.44,6,5,5,0.5,428.73,10,0,4,1,2.048083333
Ag5IO6,1045.583333,2.780833333,28,1.023333333,63.52083333,1118.65,2.631666667,1.113333333,3262.206667,4.785833333,6.283333333,574.2416667,78.58333333,0.045,20.18583333,2.603333333,5,14,3.583333333,0.416666667,84.78333333,2.745833333,3.5,1.359166667,2.416666667,5.833333333,4.416666667,14,251.75,5.47,107.8425,1.083333333,0.583333333,2.266666667,8.166666667,4,4.103333333,0.5775,178.8025,5,0,2.416666667,1.583333333,12547,33.37,336,12.28,762.25,13423.8,31.58,13.36,39146.48,57.43,75.4,6890.9,943,0.54,242.23,31.24,60,168,43,5,1017.4,32.95,42,16.31,29,70,53,168,3021,65.64,1294.11,13,7,27.2,98,48,49.24,6.93,2145.63,60,0,29,19,583,1.74,45,1.17,110.9,2395,1.84,0.8,7325.42,10.5,4.52,1180.4,31,0.1,12.44,2.17,10,0,5,1,83.6,1.51,3,1.91,5,4,5,6,177,11.08,247.17,1,1,5.44,5,6,7.11,0.71,428.97,10,0,5,1,1.4
Ag8SnSe6,813.5333333,2.090666667,42,1.388666667,97.02866667,1878.216667,2.766666667,1.374,5079.4,8.003333333,4.663333333,888.4833333,75.6,0.081333333,25.42466667,1.810666667,4,14,4.266666667,0.533333333,113.5733333,2.18,4.6,1.910666667,1.733333333,5.266666667,3.733333333,13.2,262.4,9.171333333,168.4426667,1.41,0.466666667,3.968,8.533333333,3.066666667,6.246666667,0.271333333,233.448,6,0,1.733333333,1.466666667,12203,31.36,630,20.83,1455.43,28173.25,41.5,20.61,76191,120.05,69.95,13327.25,1134,1.22,381.37,27.16,60,210,64,8,1703.6,32.7,69,28.66,26,79,56,198,3936,137.57,2526.64,21.15,7,59.52,128,46,93.7,4.07,3501.72,90,0,26,22,232,0.61,16,0.62,39.75,1585,0.68,0.37,5723,5.71,1.91,745,24,0.04,1.68,0.86,10,0,4,1,36.8,0.62,1,1.09,4,3,4,5,75,4.61,258.1,0.45,1,3.44,7,5,4.1,0.09,428.48,10,0,4,1,0.71
AgAlS2,827.25,2.165,23,1.1475,49.7475,1665.25,3.01,1.1875,4664.5,4.335,4.7675,735.05,78.5,0.08,23.7925,1.995,7.5,14,3.75,0.25,105.45,2.175,3.5,1.565,2.25,5.75,4.25,14,292,6.3825,140.895,1.2125,0.75,3.11,6.5,4,5.5,0.64,166.635,2.5,0,2.25,1.75,3309,8.66,92,4.59,198.99,6661,12.04,4.75,18658,17.34,19.07,2940.2,314,0.32,95.17,7.98,30,56,15,1,421.8,8.7,14,6.26,9,23,17,56,1168,25.53,563.58,4.85,3,12.44,26,16,22,2.56,666.54,10,0,9,7,422,0.98,34,0.77,80.89,2022.3,0.54,0.51,7236,8.43,2.33,849.2,23,0.04,2.58,1.04,10,0,4,1,50.2,0.97,2,1.28,4,3,4,5,47,9.58,283.6,0.6,1,3.44,8,5,5.4,0.66,428.73,10,0,4,1,3.13
AgBiP2S6,945.8,2.392,25.6,1.032,57.121037,973.17,2.909,1.123,2197.2,3.631,5.36988,472.95,84.5,0.06267,23.47476444,2.266,8,12.6,2.7,0.1,92.79,2.381,3.5,1.3457,3.3,6.5,5.3,15.2,279.5,3.424,43.844,1.12,0.9,2.644,6.2,5.2,3.99,0.616,43.897,2,1.4,3.3,1.9,9458,23.92,256,10.32,571.21037,9731.7,29.09,11.23,21972,36.31,53.6988,4729.5,845,0.6267,234.7476444,22.66,80,126,27,1,927.9,23.81,35,13.457,33,65,53,152,2795,34.24,438.44,11.2,9,26.44,62,52,39.9,6.16,438.97,20,14,33,19,309,0.72,68,0.77,178.01037,1932,1.25,0.51,6486,8.68,2,917.9,23,0.0533,2.58,1.04,10,14,4,1,48.5,0.65,3,1.28,4,3,4,5,108,10.64,240.78,0.6,1,3.44,6,5,5,0.65,428.76,10,14,4,1,1.7
AgBr,935.5,2.28,41,1.295,93.885,1408.55,2.085,1.335,4032,6.81,5.13,750.55,80,0.07,31.57,2.005,5,14,3.5,0.5,106.85,2.445,4.5,1.79,2.5,6,4.5,14,198,8.295,133.01,1.375,0.5,2.72,9,4,5.5,0.355,214.56,5,0,2.5,1.5,1871,4.56,82,2.59,187.77,2817.1,4.17,2.67,8064,13.62,10.26,1501.1,160,0.14,63.14,4.01,10,28,7,1,213.7,4.89,9,3.58,5,12,9,28,396,16.59,266.02,2.75,1,5.44,18,8,11,0.71,429.12,10,0,5,3,409,0.82,12,0.71,27.97,2153.2,1.73,0.39,6896,7.38,2.56,969.2,30,0.06,12.44,1.11,10,0,5,1,43.5,1.03,1,1.18,5,4,5,6,172,6.01,235.14,0.45,1,5.44,4,6,4.8,0.23,428.88,10,0,5,1,2.52
AgGaGe3Se8,855.6923077,2.233846154,34.30769231,1.153846154,79.00769231,1702.765385,2.845384615,1.21,4181.230769,5.436923077,5.232307692,701.6115385,83.69230769,0.066923077,24.84846154,2.070769231,9.230769231,14,3,0.076923077,101.1846154,2.320769231,4.076923077,1.467692308,3,6.384615385,5,14.92307692,270.5384615,13.94076923,138.7369231,1.219230769,0.923076923,2.836923077,5.692307692,4.923076923,4.976923077,0.317692308,50.26615385,0.769230769,0,3,1.923076923,11124,29.04,446,15,1027.1,22135.95,36.99,15.73,54356,70.68,68.02,9120.95,1088,0.87,323.03,26.92,120,182,39,1,1315.4,30.17,53,19.08,39,83,65,194,3517,181.23,1803.58,15.85,12,36.88,74,64,64.7,4.13,653.46,10,0,39,25,362,0.67,16,0.62,38.15,2145,1.39,0.37,6643,5.71,1.91,932.2,24,0.04,2.56,0.86,10,0,4,1,36.8,0.74,1,1.09,4,3,4,5,150,31.35,293.2,0.45,1,3.44,8,5,4.3,0.13,428.48,10,0,4,1,2.17
AgGaGe5Se12,863.7894737,2.249473684,34,1.137894737,78.32421053,1693.413158,2.87,1.200526316,4114.947368,5.288421053,5.281052632,711.7184211,84.31578947,0.065789474,24.76789474,2.093684211,9.473684211,14,2.894736842,0.052631579,100.0315789,2.336315789,4.052631579,1.44,3.105263158,6.473684211,5.105263158,15.05263158,272.5789474,14.83526316,137.6936842,1.207894737,0.947368421,2.783157895,5.578947368,5.052631579,4.847368421,0.318421053,40.80736842,0.526315789,0,3.105263158,1.947368421,16412,42.74,646,21.62,1488.16,32174.85,54.53,22.81,78184,100.48,100.34,13522.65,1602,1.25,470.59,39.78,180,266,55,1,1900.6,44.39,77,27.36,59,123,97,286,5179,281.87,2616.18,22.95,18,52.88,106,96,92.1,6.05,775.34,10,0,59,37,362,0.67,16,0.62,38.15,2145,1.39,0.37,6643,5.71,1.91,932.2,24,0.04,2.56,0.86,10,0,4,1,36.8,0.74,1,1.09,4,3,4,5,150,31.35,293.2,0.45,1,3.44,8,5,4.3,0.13,428.48,10,0,4,1,2.14
AgGaSe2,798,2.1225,36.5,1.2675,83.8775,1769.4,2.67,1.2775,4653.5,6.495,4.885,629.6,79.25,0.075,25.4225,1.9075,7.5,14,3.75,0.25,109.4,2.21,4.25,1.665,2.25,5.75,4.25,14,256,7.5675,146.17,1.3,0.75,3.22,6.5,4,5.9,0.3125,117.66,2.5,0,2.25,1.75,3192,8.49,146,5.07,335.51,7077.6,10.68,5.11,18614,25.98,19.54,2518.4,317,0.3,101.69,7.63,30,56,15,1,437.6,8.84,17,6.66,9,23,17,56,1024,30.27,584.68,5.2,3,12.88,26,16,23.6,1.25,470.64,10,0,9,7,362,0.67,16,0.62,38.15,1718,0.49,0.37,5863,5.71,1.91,932.2,24,0.04,0.53,0.86,10,0,4,1,36.8,0.74,1,1.09,4,3,4,5,59,5.71,221,0.45,1,3.44,8,5,4.3,0.13,428.48,10,0,4,1,1.673833333
AgInCd2Te3,804.5714286,1.864285714,49.71428571,1.445714286,118.6157143,1529.064286,2.051428571,1.425714286,3873.857143,7.69,4.605714286,717.2785714,78.57142857,0.067142857,25.71714286,1.73,0,14,4.142857143,0.142857143,119.5571429,1.912857143,5,1.982857143,1.857142857,5,3.571428571,13.71428571,191.7142857,11.34428571,119.8385714,1.492857143,0.571428571,3.394285714,8,1.857142857,6.928571429,0.218571429,101.6071429,10,0,1.857142857,1.857142857,5632,13.05,348,10.12,830.31,10703.45,14.36,9.98,27117,53.83,32.24,5020.95,550,0.47,180.02,12.11,0,98,29,1,836.9,13.39,35,13.88,13,35,25,96,1342,79.41,838.87,10.45,4,23.76,56,13,48.5,1.53,711.25,70,0,13,13,311,0.64,5,0.42,19.73,1447,1.79,0.18,5151,4.26,1.59,805.4,25,0.05,1.06,0.63,0,0,4,1,27.1,0.41,0,0.71,4,2,5,5,172,14.23,198.03,0.2,1,3.44,9,1,4.2,0.04,426.65,0,0,4,1,0.47
AgLi0.33Sn0.67O2,1001.4075,2.652425,24.3725,1.03315,55.423975,1225.59,2.707925,1.094225,3186.195,3.893975,6.181975,458.20125,73.2325,0.04165,20.2733,2.5348,5.825,14,3.665,0.3325,88.5045,2.61165,3.2525,1.277725,2.4175,5.42,4.2525,13.1775,259.3675,4.360025,125.9349,1.0625,0.6675,2.1125,6.5025,3.6675,5.6645,0.855525,125.40825,4.175,0,2.335,1.6675,4005.63,10.6097,97.49,4.1326,221.6959,4902.36,10.8317,4.3769,12744.78,15.5759,24.7279,1832.805,292.93,0.1666,81.0932,10.1392,23.3,56,14.66,1.33,354.018,10.4466,13.01,5.1109,9.67,21.68,17.01,52.71,1037.47,17.4401,503.7396,4.25,2.67,8.45,26.01,14.67,22.658,3.4221,501.633,16.7,0,9.34,6.67,794,2.7,47,1.19,111.77,2453,1.51,0.8,7325.42,10.5,5.15,1180.4,86,0.1,12.23,2.68,10,0,4,1,113.6,2.46,3,1.91,4,6,5,15,141,11.08,292.39,1,1,5.44,10,5,23.51,3.37,428.97,10,0,4,1,2.7
AgPbBiS3,858.3333333,2.250666667,43.33333333,1.21,103.3767283,1414.166667,2.618333333,1.253333333,3573.666667,6.31,5.161533333,589.6333333,82.66666667,0.063616667,24.27894073,2.085,5,9.333333333,3.166666667,0.166666667,103.7666667,2.26,4.333333333,1.627833333,2.833333333,5.833333333,4.833333333,14.66666667,254,5.4265,93.74666667,1.333333333,0.833333333,2.813333333,6.333333333,4.666666667,5.133333333,0.436666667,78.83,5,4.666666667,2.833333333,1.833333333,5150,13.504,260,7.26,620.26037,8485,15.71,7.52,21442,37.86,30.9692,3537.8,496,0.3817,145.6736444,12.51,30,56,19,1,622.6,13.56,26,9.767,17,35,29,88,1524,32.559,562.48,8,5,16.88,38,28,30.8,2.62,472.98,30,28,17,11,297,0.736,67,0.77,176.91037,1767.3,0.92,0.51,6166,9.33,2,849.2,23,0.0533,4.166,1.04,10,14,4,1,48.5,0.71,3,1.28,4,3,4,5,88,9.58,240.78,0.8,1,3.44,7,5,5,0.59,428.73,10,14,4,1,1.2
AgSbS2,891.25,2.2575,32.5,1.185,73.4425,1536,2.85,1.2375,3794.5,5.3325,5.1375,727.8,81.5,0.0675,24.115,2.0775,5,14,3.25,0.25,102.475,2.285,4,1.5875,2.75,6,4.75,14.5,276,8.6525,86.83,1.2625,0.75,3.11,7,3.75,5.075,0.4675,113.46,5,0,2.75,1.75,3565,9.03,130,4.74,293.77,6144,11.4,4.95,15178,21.33,20.55,2911.2,326,0.27,96.46,8.31,20,56,13,1,409.9,9.14,16,6.35,11,24,19,58,1104,34.61,347.32,5.05,3,12.44,28,15,20.3,1.87,453.84,20,0,11,7,269,0.72,35,0.77,89.69,1767.3,0.2,0.51,6166,8.43,2,849.2,23,0.05,2.8,1.04,10,0,4,1,47.6,0.65,2,1.28,4,3,4,5,22,18.15,240.78,0.6,1,3.44,6,5,5,0.5,428.73,10,0,4,1,1.923333333
AgSbSe2,861.75,2.1775,41.5,1.26,96.8875,1656.15,2.655,1.3075,4016,6.6925,5.0925,779.9,82,0.0675,25.365,1.9875,5,14,3.25,0.25,107.875,2.27,4.5,1.6825,2.75,6,4.75,14.5,250,11.1375,100.78,1.3375,0.75,3.11,7,3.75,5.525,0.2725,113.585,5,0,2.75,1.75,3447,8.71,166,5.04,387.55,6624.6,10.62,5.23,16064,26.77,20.37,3119.6,328,0.27,101.46,7.95,20,56,13,1,431.5,9.08,18,6.73,11,24,19,58,1000,44.55,403.12,5.35,3,12.44,28,15,22.1,1.09,454.34,20,0,11,7,210,0.56,17,0.62,42.8,1527,0.49,0.37,5723,5.71,1.91,745,24,0.05,0.3,0.86,10,0,4,1,36.8,0.62,1,1.09,4,3,4,5,57,13.18,212.88,0.45,1,3.44,6,5,4.1,0.11,428.48,10,0,4,1,0.692
AgScP2Se6,903.4,2.214,30.2,1.163,68.853,1244.55,2.847,1.205,2541,4.587,5.14,662.47,77.6,0.065,25.164,2.092,8.9,14,3,0.1,102.02,2.297,3.9,1.535,3.1,6.3,4.9,14,265.4,6.686,81.524,1.21,1,2.644,6,4.9,5.57,0.43,44.84,1.1,0,3,1.9,9034,22.14,302,11.63,688.53,12445.5,28.47,12.05,25410,45.87,51.4,6624.7,776,0.65,251.64,20.92,89,140,30,1,1020.2,22.97,39,15.35,31,63,49,140,2654,66.86,815.24,12.1,10,26.44,60,49,55.7,4.3,448.4,11,0,30,19,379,1.24,32,0.86,76.9,2552,1.44,0.47,6486,8.68,2.69,1496.9,78,0.04,3.12,1.14,10,0,4,1,65.2,1.19,2,1.51,4,4,5,13,151,13.44,302.07,0.6,2,3.44,8,5,14.2,0.53,428.76,10,0,4,1,1.55
AgTe,800,2.015,49.5,1.44,117.735,1874.05,2.57,1.44,4904.5,8.37,4.645,978.9,77.5,0.075,25.435,1.765,0,14,4,0.5,119.85,2.015,5,2.025,2,5,4,13.5,240.5,14.395,151.565,1.5,0.5,3.72,8.5,1.5,6.7,0.22,215.675,10,0,2,1.5,1600,4.03,99,2.88,235.47,3748.1,5.14,2.88,9809,16.74,9.29,1957.8,155,0.15,50.87,3.53,0,28,8,1,239.7,4.03,10,4.05,4,10,8,27,481,28.79,303.13,3,1,7.44,17,3,13.4,0.44,431.35,20,0,4,3,138,0.29,5,0.42,19.73,1222.2,0.76,0.18,5151,4.26,1.59,512.5,25,0.05,0.17,0.63,0,0,4,1,17.5,0.17,0,0.71,4,2,4,5,87,6.19,198.03,0.2,1,3.44,5,1,2.4,0.04,426.65,0,0,4,1,0.79
AlBi,640.5,1.81,48,1.305,117.980185,2286.65,2.785,1.32,6585,6.225,4.1744,738.65,79.5,0.07335,24.6788222,1.69,5,7,4,0,130.35,1.815,4.5,1.8385,2,5,4,14,266.5,11.045,199.1,1.425,1,3,4,4,7.85,0.51,122.435,5,7,2,2,1281,3.62,96,2.61,235.96037,4573.3,5.57,2.64,13170,12.45,8.3488,1477.3,159,0.1467,49.3576444,3.38,10,14,8,0,260.7,3.63,9,3.677,4,10,8,28,533,22.09,398.2,2.85,2,6,8,8,15.7,1.02,244.87,10,14,4,4,125,0.4,70,0.25,182.00037,907,1.21,0.28,3930,7.05,1.3088,389,13,0.0533,0.7976444,0.28,10,14,2,0,1.7,0.41,3,0.317,2,0,2,2,119,0.51,188.6,0.35,0,0,2,2,0.9,0.78,229.13,10,14,2,0,0.4
As2O3,1167.2,3.05,18,0.744,39.568,410.15,2.756,0.914,932.748,2.292,7.09,468.91,85.8,0.032,18.72,3.016,10,14,2.4,0,67.04,2.936,2.8,0.85,3.6,6.6,5.6,15.6,270.2,11.212,15.95,0.82,1,1.2,5.6,5.6,2.194,0.684,20.018,0,0,3.6,2,5836,15.25,90,3.72,197.84,2050.75,13.78,4.57,4663.74,11.46,35.45,2344.55,429,0.16,93.6,15.08,50,70,12,0,335.2,14.68,14,4.25,18,33,28,78,1351,56.06,79.75,4.1,5,6,28,28,10.97,3.42,100.09,0,0,18,10,367,1.4,25,0.66,58.92,800,0.34,0.46,1945.42,5.73,3.2,1035.4,3,0.08,10,1.51,0,0,1,0,55.1,1.26,2,0.95,1,1,1,1,53,27.48,31.35,0.55,0,3,1,1,3.51,0.59,49.97,0,0,1,0,4
As2Se3,943.4,2.342,33.6,1.074,77.344,930.95,2.66,1.172,1894.2,5.166,5.524,730.15,87,0.068,25.05,2.23,10,14,2.4,0,95.12,2.402,4,1.342,3.6,6.6,5.6,15.6,257,15.094,36.524,1.15,1,2.4,5.6,5.6,4,0.324,20.312,0,0,3.6,2,4717,11.71,168,5.37,386.72,4654.75,13.3,5.86,9471,25.83,27.62,3650.75,435,0.34,125.25,11.15,50,70,12,0,475.6,12.01,20,6.71,18,33,28,78,1285,75.47,182.62,5.75,5,12,28,28,20,1.62,101.56,0,0,18,10,6,0.22,1,0.11,4.04,68,0.5,0.03,343,0.94,0.59,600,5,0.02,0.55,0.2,0,0,1,0,8.3,0.37,0,0.13,1,1,1,1,75,21.01,2.94,0,0,1,1,1,0.5,0.01,49.48,0,0,1,0,1.785714286
AsTe,908,2.185,42.5,1.185,101.26,1076.55,2.575,1.27,2214.5,5.985,5.305,906.4,87,0.065,25.12,2.095,5,14,2.5,0,105.6,2.14,4.5,1.545,3.5,6,5.5,15.5,249.5,22.595,43.655,1.275,1,2.5,5.5,3.5,4.9,0.265,26.175,5,0,3.5,2,1816,4.37,85,2.37,202.52,2153.1,5.15,2.54,4429,11.97,10.61,1812.8,174,0.13,50.24,4.19,10,28,5,0,211.2,4.28,9,3.09,7,12,11,31,499,45.19,87.31,2.55,2,5,11,7,9.8,0.53,52.35,10,0,7,4,78,0.05,19,0.09,52.68,372.8,0.77,0.16,229,0.51,0.27,367.5,6,0.03,0.8,0.03,10,0,1,0,11,0.08,1,0.25,1,0,1,1,105,10.21,17.79,0.25,0,1,1,3,1.2,0.13,47.65,10,0,1,0,0.74
B4C,858,2.148,5.2,0.83,11.05,4440.03,6.122,0.81,3975.8,2.322,4.804,2609.75,73,0.214,10.53,2.126,10,14,4.8,0,74.48,2.142,2,0.768,1.2,6.2,3.2,13.2,601.8,61.16,462.92,0.82,1,3.2,3.2,3.2,2.76,0.958,47.4,0,0,1.2,2,4290,10.74,26,4.15,55.25,22200.15,30.61,4.05,19879,11.61,24.02,13048.75,365,1.07,52.65,10.63,50,70,24,0,372.4,10.71,10,3.84,6,31,16,66,3009,305.8,2314.6,4.1,5,16,16,16,13.8,4.79,237,0,0,6,10,285,0.49,1,0.2,1.2,825.15,1.56,0.05,3459,0.09,1.02,1288,5,0.03,2.5,0.53,0,0,1,0,15.6,0.51,0,0.16,1,1,1,1,144,54.8,133.9,0.15,0,1,1,1,1.2,0.31,102,0,0,1,0,1.64
B6P,831.1428571,2.078571429,6.428571429,0.885714286,13.69,3743.307143,5.47,0.854285714,2956.857143,2.265714286,4.651428571,2061.45,73.57142857,0.197142857,12.86142857,2.048571429,10,14,4.714285714,0,79.64285714,2.061428571,2.142857143,0.862857143,1.285714286,6.142857143,3.285714286,13.28571429,536.1428571,43.12285714,421.4757143,0.871428571,1,3,3.285714286,3.285714286,3.085714286,0.984285714,23.17714286,0,0,1.285714286,2,5818,14.55,45,6.2,95.83,26203.15,38.29,5.98,20698,15.86,32.56,14430.15,515,1.38,90.03,14.34,70,98,33,0,557.5,14.43,15,6.04,9,43,23,93,3753,301.86,2950.33,6.1,7,21,23,23,21.6,6.89,162.24,0,0,9,14,211,0.2,10,0.11,20.16,3721.85,2.38,0.24,2290,0.52,0.36,2034.9,11,0.16,12.82,0.2,0,0,2,0,14.3,0.15,1,0.44,2,1,2,2,258,49.54,477.57,0.15,0,0,2,2,0.6,0.25,26.76,0,0,2,0,3.3
BAs,874,2.13,19,1.005,42.865,2582.575,4.385,1.005,2692,4.035,4.885,1721.15,78,0.15,17.875,2.065,10,14,4,0,88.85,2.11,3,1.11,2,6,4,14,437.5,38.95,262.23,1,1,3,4,4,3.65,0.675,38.5,0,0,2,2,1748,4.26,38,2.01,85.73,5165.15,8.77,2.01,5384,8.07,9.77,3442.3,156,0.3,35.75,4.13,20,28,8,0,177.7,4.22,6,2.22,4,12,8,28,875,77.9,524.46,2,2,6,8,8,7.3,1.35,77,0,0,4,4,146,0.16,28,0.27,64.11,3384.85,2.85,0.37,1184,3.39,0.57,1262,12,0.14,13.69,0.09,0,0,2,0,22.5,0.14,2,0.62,2,0,2,2,271,22.5,454.94,0.3,0,0,2,2,1.3,0.69,23,0,0,2,0,1.455
BSb,817.5,2.015,28,1.1,66.285,3249.075,4.28,1.1,4177,4.515,4.8,1628.15,78.5,0.135,18.3,1.95,5,14,4,0,98.45,2.045,3.5,1.285,2,6,4,14,417.5,35.035,283.42,1.15,1,3,4,2.5,4.8,0.615,25.65,5,0,2,2,1635,4.03,56,2.2,132.57,6498.15,8.56,2.2,8354,9.03,9.6,3256.3,157,0.27,36.6,3.9,10,28,8,0,196.9,4.09,7,2.57,4,12,8,28,835,70.07,566.84,2.3,2,6,8,5,9.6,1.23,51.3,10,0,4,4,33,0.07,46,0.46,110.95,2051.85,3.06,0.56,1786,4.35,0.4,1448,13,0.17,14.54,0.14,10,0,2,0,41.7,0.01,3,0.97,2,0,2,2,311,30.33,412.56,0.6,0,0,2,1,3.6,0.81,2.7,10,0,2,0,2.6
